delomrade,lan,latitud,longitud,groda,sort,jordart,sadatum,skordear,graderingsdatum,graderingstyp,forforfrukt,forfrukt,ekologisk,plojt,utvecklingsstadium,Bladfläcksvampar,Gulrost,Svartpricksjuka,Sädesbladlus
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-05-01,Veckovis,Vårkorn,Vårkorn,False,True,26,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-05-08,Veckovis,Vårkorn,Vårkorn,False,True,30,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-05-15,Veckovis,Vårkorn,Vårkorn,False,True,32,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-05-22,Veckovis,Vårkorn,Vårkorn,False,True,33,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-05-29,Veckovis,Vårkorn,Vårkorn,False,True,37,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-06-05,Veckovis,Vårkorn,Vårkorn,False,True,39,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-06-12,Veckovis,Vårkorn,Vårkorn,False,True,55,0.0,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-06-19,Veckovis,Vårkorn,Vårkorn,False,True,65,0.01,0.0,0.01,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-06-26,Veckovis,Vårkorn,Vårkorn,False,True,69,0.01,0.0,0.0,0.0
Gotland,Gotlands län,2441000,000,Höstvete,Julius,Lättlera (15-25 % ler),2016-09-18,2017,2017-07-03,Veckovis,Vårkorn,Vårkorn,False,True,75,0.01,0.0,0.01,0.0
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-04-17,Veckovis,,Höstvete,False,,30,10.0,0.0,10.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-04-17,Veckovis,,Höstvete,False,,30,24.0,0.0,24.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-04-17,Veckovis,,Höstvete,False,,30,18.0,0.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-04-17,Veckovis,,Höstvete,False,,30,14.0,0.0,14.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-04-24,Veckovis,,Höstvete,False,,30,14.0,0.0,14.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-04-24,Veckovis,,Höstvete,False,,30,24.0,0.0,24.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-04-24,Veckovis,,Höstvete,False,,30,18.0,0.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-04-24,Veckovis,,Höstvete,False,,30,18.0,0.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-05-01,Veckovis,,Höstvete,False,,31,18.0,0.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-05-01,Veckovis,,Höstvete,False,,31,22.0,0.0,22.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-05-01,Veckovis,,Höstvete,False,,31,20.0,0.0,20.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-05-01,Veckovis,,Höstvete,False,,31,20.0,0.0,20.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-05-08,Veckovis,,Höstvete,False,,31,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-05-08,Veckovis,,Höstvete,False,,31,18.0,0.0,18.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-05-08,Veckovis,,Höstvete,False,,31,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-05-08,Veckovis,,Höstvete,False,,31,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-05-15,Veckovis,,Höstvete,False,,32,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-05-15,Veckovis,,Höstvete,False,,31,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-05-15,Veckovis,,Höstvete,False,,32,14.0,0.0,14.0,
