groda,sort,jordart,utvecklingsstadium,Bladfläcksvampar,WGS84N,WGS84E,TM_7d_avg,TX_7d_avg,TN_7d_avg,UM_7d_avg,UX_7d_avg,UN_7d_avg,FM2_7d_avg,CLDM_7d_avg,Q0_7d_avg,RR_7d_sum,BT_7d_sum,G0_7d_sum,G3_7d_sum,G5_7d_sum,G7_7d_sum,G8_7d_sum,G10_7d_sum,g_year,g_month,g_week,groda_Höstvete,jordart_Leriga_jordar,jordart_Lättlera,jordart_Mellanlera,jordart_Mulljord,jordart_Sandjord,jordart_Styv_lera,jordart_Unknown,sort,utvecklingsstadium,WGS84N,WGS84E,TM_7d_avg,TX_7d_avg,TN_7d_avg,UM_7d_avg,UX_7d_avg,UN_7d_avg,FM2_7d_avg,CLDM_7d_avg,Q0_7d_avg,RR_7d_sum,BT_7d_sum,G0_7d_sum,G3_7d_sum,G5_7d_sum,G7_7d_sum,G8_7d_sum,G10_7d_sum,g_year,g_month_sin,g_month_cos,g_week_sin,g_week_cos
Höstvete,Mariboss,Lättlera (15-25 % ler),31,3.0,69.042,20.262,3.64,8.7,-1.0,73.81,90.14,60.29,4.63,83.14,12.49,3.8,0.0,418.0,128.0,41.0,0.0,0.0,0.0,2016,5,19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,-1.0161924133965363,-2.842170943040401e-14,0.0,0.09177555077703002,0.22114338760798324,0.01780765143591422,-0.6879761043146603,-0.3973920520466551,-0.5611580295899745,-0.1547265055571306,0.5021832834997769,-1.3048666980405164,-0.23348562033100767,-0.8024372674457525,-0.6906502763479162,-0.6531070830866436,-0.7000177754478304,-0.8373696927142812,-0.7882030993549198,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795
Höstvete,Mariboss,Lättlera (15-25 % ler),32,3.0,69.042,20.262,1.37,6.46,-3.47,70.69,86.0,56.0,4.27,81.86,15.34,1.1,0.0,549.0,163.0,49.0,0.0,0.0,0.0,2016,5,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,-0.9398364660148532,-2.842170943040401e-14,0.0,-0.5925011415273749,-0.38944084628793124,-0.7541696138915923,-1.1574964693586614,-1.5020254264386323,-1.0444783751364983,-0.46707641004389727,0.399384018415624,-0.6001453130004549,-0.6292994152768634,-0.8024372674457525,-0.4231577828250493,-0.5092974163542412,-0.6410332797541746,-0.8373696927142812,-0.7882030993549198,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012
Höstvete,Mariboss,Lättlera (15-25 % ler),37,1.0,69.042,20.262,3.6,8.66,-0.61,67.53,88.0,47.86,4.97,80.14,17.61,6.5,0.0,676.0,204.0,63.0,9.0,2.0,0.0,2016,5,21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,-0.5580567291064372,-2.842170943040401e-14,0.0,0.07971781170558674,0.21024009771698499,0.13969879859288892,-1.6330363262621996,-0.9683861151381603,-1.961547748737595,0.14027062645814867,0.2612475059587936,-0.0388409115825814,0.16232817461484808,-0.8024372674457525,-0.16383299902807152,-0.34083466389628414,-0.537810412290277,-0.712224113874904,-0.7492464756461665,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564
Höstvete,Mariboss,Lättlera (15-25 % ler),41,0.0,69.042,20.262,7.96,14.11,2.11,65.97,84.0,50.71,3.7,66.29,22.04,4.5,0.0,989.0,378.0,166.0,64.0,42.0,16.0,2016,5,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,-0.2526329395797044,-2.842170943040401e-14,0.0,1.3940113704929018,1.695813345365527,0.9898114146620458,-1.8677965087842003,-2.035664737739104,-1.6404608058920018,-0.961630425481277,-0.8510726670220791,1.0565681184972335,-0.13086722904874876,-0.8024372674457525,0.4752902870227478,0.37410482214480195,0.22161496976554115,0.052554423476845025,0.029885998528900896,0.00012517022109587115,2016,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096
Höstvete,Mariboss,Lättlera (15-25 % ler),57,3.0,69.042,20.262,4.76,10.53,0.59,73.16,91.0,56.43,5.63,75.43,19.64,0.8,0.0,1385.0,639.0,350.0,185.0,137.0,70.0,2016,6,23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,0.9690622185272267,-2.842170943040401e-14,0.0,0.42939224477744115,0.7199689001211635,0.5147484821528111,-0.7857928470321612,-0.1679271481874523,-0.9960336784966369,0.7129121180172205,-0.11702166478054973,0.4631185310950768,-0.6732787258264029,-0.8024372674457525,1.283893549885765,1.446514051206431,1.578258370719624,1.735067205650693,1.8803256246946862,2.23803217408274,2016,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147
Höstvete,Mariboss,Lättlera (15-25 % ler),65,2.0,69.042,20.262,3.09,7.2,-0.83,80.44,93.0,68.0,3.74,86.71,17.59,5.7,100.0,1538.0,683.0,367.0,189.0,140.0,70.0,2016,6,24,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,1.5799097975806922,-2.842170943040401e-14,0.0,-0.07401836145531487,-0.18772998330445936,0.07093968994023654,0.3097546714038399,0.3657121631130197,0.3074666473712607,-0.9269248805383029,0.7888968587735465,-0.04378632481093261,0.045050013149409374,-0.23386206743847032,1.5963084469010218,1.6273033465271656,1.7036004240686426,1.7906874629126381,1.9387605602578162,2.23803217408274,2016,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052
Höstvete,Mariboss,Lättlera (15-25 % ler),69,22.0,69.042,20.262,4.56,7.9,2.2,91.51,98.57,83.43,2.6,94.71,15.43,38.2,600.0,1750.0,761.0,393.0,195.0,140.0,70.0,2016,6,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8074590163934445,1.885333587107425,-2.842170943040401e-14,0.0,0.36910354942022483,0.0030775897880140064,1.01794014092904,1.9756490435311116,1.8518976450848323,2.0458426221458215,-1.9160329114130632,1.4313922655495022,-0.5778909534728741,4.809475322682858,2.609013932597941,2.029197062373142,1.9477934609593766,1.895300035073024,1.8741178488055563,1.9387605602578162,2.23803217408274,2016,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054
Höstvete,Brons,Mellanlera (25-40 % ler),31,12.0,69.042,20.262,3.64,8.7,-1.0,73.81,90.14,60.29,4.63,83.14,12.49,3.8,0.0,418.0,128.0,41.0,0.0,0.0,0.0,2016,5,19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.622044817927171,-1.0161924133965363,-2.842170943040401e-14,0.0,0.09177555077703002,0.22114338760798324,0.01780765143591422,-0.6879761043146603,-0.3973920520466551,-0.5611580295899745,-0.1547265055571306,0.5021832834997769,-1.3048666980405164,-0.23348562033100767,-0.8024372674457525,-0.6906502763479162,-0.6531070830866436,-0.7000177754478304,-0.8373696927142812,-0.7882030993549198,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795
Höstvete,Brons,Mellanlera (25-40 % ler),32,8.0,69.042,20.262,1.37,6.46,-3.47,70.69,86.0,56.0,4.27,81.86,15.34,1.1,0.0,549.0,163.0,49.0,0.0,0.0,0.0,2016,5,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.622044817927171,-0.9398364660148532,-2.842170943040401e-14,0.0,-0.5925011415273749,-0.38944084628793124,-0.7541696138915923,-1.1574964693586614,-1.5020254264386323,-1.0444783751364983,-0.46707641004389727,0.399384018415624,-0.6001453130004549,-0.6292994152768634,-0.8024372674457525,-0.4231577828250493,-0.5092974163542412,-0.6410332797541746,-0.8373696927142812,-0.7882030993549198,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012
Höstvete,Brons,Mellanlera (25-40 % ler),37,2.0,69.042,20.262,3.6,8.66,-0.61,67.53,88.0,47.86,4.97,80.14,17.61,6.5,0.0,676.0,204.0,63.0,9.0,2.0,0.0,2016,5,21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.622044817927171,-0.5580567291064372,-2.842170943040401e-14,0.0,0.07971781170558674,0.21024009771698499,0.13969879859288892,-1.6330363262621996,-0.9683861151381603,-1.961547748737595,0.14027062645814867,0.2612475059587936,-0.0388409115825814,0.16232817461484808,-0.8024372674457525,-0.16383299902807152,-0.34083466389628414,-0.537810412290277,-0.712224113874904,-0.7492464756461665,-0.6629583864786505,2016,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564
